iter	Passed	Remaining
0	1	112
1	2	106
2	3	102
3	3	95
4	5	95
5	6	94
6	7	93
7	8	92
8	9	95
9	13	123
10	14	119
11	15	115
12	16	112
13	17	108
14	18	105
15	19	103
16	20	100
17	21	98
18	22	96
19	23	94
20	26	99
21	28	100
22	29	97
23	30	95
24	30	92
25	31	90
26	32	87
27	33	85
28	34	83
29	34	81
30	35	79
31	36	77
32	37	75
33	38	73
34	40	74
35	41	73
36	41	71
37	42	69
38	43	67
39	44	66
40	44	64
41	45	62
42	45	60
43	46	59
44	47	57
45	47	56
46	48	54
47	49	53
48	50	52
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	55	42
57	56	41
58	57	39
59	58	38
60	58	37
61	59	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	67	25
73	68	24
74	69	23
75	69	22
76	70	21
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	74	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	80	7
91	81	7
92	82	6
93	82	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
