iter	Passed	Remaining
0	1955	1953732
1	1957	976836
2	1958	650980
3	1960	488045
4	1961	390296
5	1962	325116
6	1963	278542
7	1965	243730
8	1967	216646
9	1971	195222
10	1973	177410
11	1974	162565
12	1975	149998
13	1976	139219
14	1977	129867
15	1978	121677
16	1980	114529
17	1981	108121
18	1982	102369
19	1983	97211
20	1984	92531
21	1985	88273
22	1986	84383
23	1987	80825
24	1988	77543
25	1989	74513
26	1989	71708
27	1990	69111
28	1991	66694
29	1992	64431
30	1993	62313
31	1996	60387
32	2004	58727
33	2005	56993
34	2007	55362
35	2013	53906
36	2015	52448
37	2017	51068
38	2019	49756
39	2020	48490
40	2021	47282
41	2022	46131
42	2023	45034
43	2026	44022
44	2027	43034
45	2029	42080
46	2030	41165
47	2031	40288
48	2032	39449
49	2042	38799
50	2043	38022
51	2044	37274
52	2045	36553
53	2046	35859
54	2048	35192
55	2050	34565
56	2052	33951
57	2053	33355
58	2059	32843
59	2060	32281
60	2061	31736
61	2062	31208
62	2064	30698
63	2065	30203
64	2066	29723
65	2067	29261
66	2075	28899
67	2076	28465
68	2078	28039
69	2079	27625
70	2080	27222
71	2081	26830
72	2082	26449
73	2084	26080
74	2086	25732
75	2092	25446
76	2097	25139
77	2098	24803
78	2099	24477
79	2100	24158
80	2101	23847
81	2103	23544
82	2103	23241
83	2104	22952
84	2105	22670
85	2107	22394
86	2108	22123
87	2120	21977
88	2122	21725
89	2123	21473
90	2126	21238
91	2127	20999
92	2128	20762
93	2130	20530
94	2131	20303
95	2132	20081
96	2133	19863
97	2134	19650
98	2136	19441
99	2150	19357
100	2154	19181
101	2156	18983
102	2158	18800
103	2160	18609
104	2161	18422
105	2162	18237
106	2163	18056
107	2164	17878
108	2165	17704
109	2166	17532
110	2168	17364
111	2169	17199
112	2170	17037
113	2173	16893
114	2175	16738
115	2176	16585
116	2177	16435
117	2178	16285
118	2180	16145
119	2181	15998
120	2182	15853
121	2182	15710
122	2183	15570
123	2184	15432
124	2185	15297
125	2186	15164
126	2187	15036
127	2188	14909
128	2189	14783
129	2190	14659
130	2191	14538
131	2192	14420
132	2194	14303
133	2194	14185
134	2195	14069
135	2196	13956
136	2197	13845
137	2198	13734
138	2199	13625
139	2202	13531
140	2203	13425
141	2204	13319
142	2205	13216
143	2206	13115
144	2207	13016
145	2208	12918
146	2209	12821
147	2210	12726
148	2211	12632
149	2212	12539
150	2214	12449
151	2215	12362
152	2216	12272
153	2217	12183
154	2218	12096
155	2220	12011
156	2221	11926
